timestep,demand,pv,wind
1,209643.3415769,0,0.10702
2,207497.2007709,0,0.074873
3,200108.0148989,0,0.055654
4,191892.6802004,0,0.065059
5,185717.3331069,0,0.085573
6,180672.7483735,0,0.096229
7,172683.5661471,0,0.11794
8,170048.1975444,0,0.15953
9,171132.8063389,0,0.23717
10,179532.7553002,0.062188,0.28515
11,189155.7737532,0.15426,0.35724
12,201026.4708567,0.16016,0.46354
13,208466.425651,0.1036,0.56932
14,207718.7378864,0.084862,0.68999
15,205443.3670963,0.052101,0.79517
16,206255.669853,0.014673,0.86893
17,217240.2184947,0,0.92278
18,232798.5854994,0,0.95895
19,237321.6349401,0,0.97963
20,232387.8187645,0,0.99052
21,224306.3294067,0,0.99626
22,219280.2060996,0,0.99859
23,223701.7176957,0,0.99933
24,213926.3924759,0,0.99923
